dataset,mode,TW,dyn_stw,speculative,csr_compress,layer,readLatency,bufferLatency,icLatency,coreLatencyADC,coreLatencyAccum,coreLatencyOther,readDynamicEnergy,bufferDynamicEnergy,icDynamicEnergy,coreEnergyADC,coreEnergyAccum,coreEnergyOther,successRate,Sparsity,Compression ratio
CIFAR10DVS,PTB,16,False,False,False,1,6.10e+07,4.93e+07,9.50e+00,3.37e+04,9.59e+06,2.13e+06,7.18e+07,1.32e+05,9.16e+01,2.73e+05,6.47e+07,6.67e+06,0,0,0
CIFAR10DVS,PTB,16,False,False,False,2,3.71e+07,4.39e+06,7.05e+02,3.37e+04,3.21e+07,5.32e+05,9.52e+08,1.24e+06,7.78e+04,2.46e+06,9.47e+08,1.67e+06,0,0,0
CIFAR10DVS,PTB,16,False,False,False,3,1.36e+07,2.20e+06,7.05e+02,1.68e+04,1.13e+07,1.33e+05,3.08e+08,3.19e+05,7.78e+04,6.15e+05,3.07e+08,4.17e+05,0,0,0
CIFAR10DVS,PTB,16,False,False,False,4,3.51e+06,5.53e+05,7.05e+02,4.21e+03,2.92e+06,3.41e+04,6.71e+07,9.02e+04,7.78e+04,1.54e+05,6.66e+07,1.04e+05,0,0,0
CIFAR10DVS,PTB,16,False,False,False,5,2.42e+05,1.47e+05,1.76e+04,6.58e+01,7.49e+04,1.52e+03,2.62e+07,2.57e+06,1.47e+07,1.71e+04,8.90e+06,1.64e+03,0,0,0
CIFAR10DVS,PTB,16,False,False,False,6,4.35e+03,2.26e+03,7.06e+01,1.29e+00,9.00e+02,1.12e+03,1.75e+04,6.13e+02,2.46e+03,2.09e+01,1.43e+04,3.87e+01,0,0,0
IMAGENET,ComPASS,0,True,False,False,1,1.94e+07,1.86e+07,2.04e+02,3.22e+03,6.46e+05,1.61e+05,2.88e+08,1.86e+06,1.11e+04,4.71e+05,2.85e+08,6.39e+05,0,0,0
IMAGENET,ComPASS,0,True,False,False,2,1.95e+07,1.86e+07,2.04e+02,3.22e+03,6.81e+05,1.61e+05,1.62e+08,1.86e+06,1.11e+04,4.71e+05,1.60e+08,6.39e+05,0,0,0
IMAGENET,ComPASS,0,True,False,False,3,1.95e+07,1.86e+07,2.04e+02,3.22e+03,7.30e+05,1.61e+05,3.33e+08,1.86e+06,1.11e+04,4.71e+05,3.30e+08,6.39e+05,0,0,0
IMAGENET,ComPASS,0,True,False,False,4,1.95e+07,1.86e+07,2.04e+02,3.22e+03,6.87e+05,1.61e+05,2.26e+08,1.86e+06,1.11e+04,4.71e+05,2.23e+08,6.39e+05,0,0,0
IMAGENET,ComPASS,0,True,False,False,5,5.55e+06,5.13e+06,3.52e+02,1.61e+03,3.45e+05,8.06e+04,1.79e+08,4.69e+05,2.04e+04,2.36e+05,1.78e+08,3.19e+05,0,0,0
IMAGENET,ComPASS,0,True,False,False,6,2.14e+07,2.01e+07,7.05e+02,6.45e+03,1.26e+06,8.06e+04,1.64e+08,9.42e+05,7.80e+04,4.71e+05,1.62e+08,3.19e+05,0,0,0
IMAGENET,ComPASS,0,True,False,False,7,2.15e+07,2.01e+07,7.05e+02,6.45e+03,1.30e+06,8.06e+04,2.96e+08,9.42e+05,7.80e+04,4.71e+05,2.94e+08,3.19e+05,0,0,0
IMAGENET,ComPASS,0,True,False,False,8,2.13e+07,2.01e+07,7.05e+02,6.45e+03,1.12e+06,8.06e+04,6.54e+07,9.42e+05,7.80e+04,4.71e+05,6.36e+07,3.19e+05,0,0,0
IMAGENET,ComPASS,0,True,False,False,9,3.14e+06,2.77e+06,1.30e+03,1.61e+03,3.29e+05,4.03e+04,1.21e+08,2.59e+05,1.49e+05,2.36e+05,1.21e+08,1.60e+05,0,0,0
IMAGENET,ComPASS,0,True,False,False,10,1.13e+07,1.01e+07,2.59e+03,6.45e+03,1.16e+06,4.03e+04,8.54e+07,5.69e+05,5.96e+05,4.71e+05,8.36e+07,1.60e+05,0,0,0
IMAGENET,ComPASS,0,True,False,False,11,1.13e+07,1.01e+07,2.59e+03,6.45e+03,1.22e+06,4.03e+04,1.93e+08,5.69e+05,5.96e+05,4.71e+05,1.92e+08,1.60e+05,0,0,0
