dataset,mode,TW,dyn_stw,speculative,csr_compress,Chip Area,Chip ADC Area,Chip IC Area,Chip Accum Area,Chip Other Area,Chip Popcnt Area,Chip Array Area,Pipelined Clock Latency,Total Read Latency,Total Buffer Latency,Total IC Latency,Total Core Latency ADC,Total Core Latency Accum,Total Core Latency Other,Total Array Read Latency,Total Array Latency ADC,Total Array Latency Accum,Total Array Latency Other,Total Read Latency Buffer,Total Read Latency IC,Total Read Dynamic Energy,Total Buffer Dynamic Energy,Total IC Dynamic Energy,Total Core Energy ADC,Total Core Energy Accum,Total Core Energy Other,Total Core Energy Popcnt,Total Leakage Energy,Total Array Read Dynamic Energy,Total Array Energy ADC,Total Array Energy Accum,Total Array Energy Other,Total Array Energy Popcnt,Total Read Dynamic Energy Buffer,Total Read Dynamic Energy IC,Energy Efficiency TOPS/W,Throughput TOPS,Throughput FPS,Compute Efficiency TOPS/mm\^2
CIFAR10DVS,PTB,16,False,False,False,3.67e+07,1.53e+06,3.45e+06,5.71e+06,8.24e+06,0.00e+00,1.51e+07,6.10e+07,1.15e+08,5.66e+07,1.98e+04,8.85e+04,5.60e+07,2.83e+06,5.60e+07,8.85e+04,5.59e+07,0.00e+00,5.67e+07,3.97e+04,1.43e+09,4.35e+06,1.49e+07,3.52e+06,1.39e+09,8.87e+06,0.00e+00,2.15e+09,1.40e+09,3.52e+06,1.39e+09,0.00e+00,0.00e+00,9.20e+06,3.78e+07,38.3851792939677,2.734553195124783,16.38101226102304,0.07443043224674194
IMAGENET,ComPASS,0,True,False,False,1.46e+08,7.02e+06,5.61e+06,2.63e+07,2.40e+07,7.67e+05,6.93e+07,2.15e+07,1.94e+08,1.80e+08,4.71e+04,6.61e+04,1.23e+07,1.21e+06,1.20e+07,6.61e+04,1.19e+07,0.00e+00,1.81e+08,9.42e+04,2.48e+09,1.60e+07,1.74e+07,6.83e+06,2.44e+09,4.79e+06,2.31e+07,1.80e+09,2.44e+09,6.83e+06,2.43e+09,0.00e+00,2.31e+07,2.16e+07,4.39e+07,84.48074616833091,20.475376332061483,46.60899994424024,0.14053508903286246
DVS128GestureSimplify,ComPASS,0,True,True,False,3.69e+07,1.53e+06,3.46e+06,5.71e+06,8.24e+06,1.67e+05,1.51e+07,5.22e+07,6.31e+07,5.66e+07,1.98e+04,8.85e+04,3.54e+06,2.83e+06,3.55e+06,8.85e+04,3.47e+06,0.00e+00,5.67e+07,3.97e+04,3.72e+08,4.35e+06,1.50e+07,3.52e+06,3.40e+08,8.87e+06,9.33e+06,1.84e+09,3.42e+08,3.52e+06,3.38e+08,0.00e+00,9.33e+06,9.20e+06,3.78e+07,62.25440649351995,3.1997225527865023,19.16754163370424,0.08667407360496861
IMAGENET,ComPASS,48,False,False,False,1.46e+08,7.02e+06,5.61e+06,2.63e+07,2.40e+07,7.67e+05,6.93e+07,2.12e+07,1.89e+08,1.80e+08,4.71e+04,6.61e+04,7.59e+06,1.21e+06,7.21e+06,6.61e+04,7.15e+06,0.00e+00,1.81e+08,9.42e+04,1.57e+09,1.60e+07,1.74e+07,6.83e+06,1.51e+09,4.79e+06,2.31e+07,1.77e+09,1.53e+09,6.83e+06,1.50e+09,0.00e+00,2.31e+07,2.16e+07,4.39e+07,108.06432380592291,20.745099634772526,47.22298296448558,0.14238636579310346
IMAGENET,ComPASS,8,False,False,False,1.46e+08,7.02e+06,5.61e+06,2.63e+07,2.40e+07,7.67e+05,6.93e+07,2.14e+07,1.90e+08,1.80e+08,4.71e+04,6.61e+04,8.77e+06,1.21e+06,8.39e+06,6.61e+04,8.32e+06,0.00e+00,1.81e+08,9.42e+04,1.88e+09,1.60e+07,1.74e+07,6.83e+06,1.81e+09,4.79e+06,2.31e+07,1.79e+09,1.83e+09,6.83e+06,1.81e+09,0.00e+00,2.31e+07,2.16e+07,4.39e+07,98.68256225535823,20.558193525718046,46.797520365644,0.1411035143206435
IMAGENET,PTB,24,False,False,False,1.45e+08,7.02e+06,5.60e+06,2.63e+07,2.40e+07,0.00e+00,6.93e+07,3.15e+07,2.56e+08,1.80e+08,4.71e+04,6.61e+04,7.42e+07,1.21e+06,7.38e+07,6.61e+04,7.37e+07,0.00e+00,1.81e+08,9.42e+04,2.46e+09,1.60e+07,1.73e+07,6.83e+06,2.41e+09,4.79e+06,0.00e+00,2.64e+09,2.42e+09,6.83e+06,2.41e+09,0.00e+00,0.00e+00,2.16e+07,4.38e+07,70.8697218082417,13.946469794827703,31.746962758951483,0.09624085491662744
CIFAR10DVS,PTB,32,False,False,False,3.67e+07,1.53e+06,3.45e+06,5.71e+06,8.24e+06,0.00e+00,1.51e+07,7.05e+07,1.71e+08,5.66e+07,1.98e+04,8.85e+04,1.11e+08,2.83e+06,1.11e+08,8.85e+04,1.11e+08,0.00e+00,5.67e+07,3.97e+04,1.43e+09,4.35e+06,1.49e+07,3.52e+06,1.39e+09,8.87e+06,0.00e+00,2.49e+09,1.40e+09,3.52e+06,1.39e+09,0.00e+00,0.00e+00,9.20e+06,3.78e+07,35.08881037955465,2.3666133777029414,14.176913005886508,0.06441566285029386
IMAGENET,ComPASS,1,False,False,False,1.46e+08,7.02e+06,5.61e+06,2.63e+07,2.40e+07,7.67e+05,6.93e+07,2.15e+07,1.94e+08,1.80e+08,4.71e+04,6.61e+04,1.23e+07,1.21e+06,1.20e+07,6.61e+04,1.19e+07,0.00e+00,1.81e+08,9.42e+04,2.46e+09,1.60e+07,1.74e+07,6.83e+06,2.41e+09,4.79e+06,0.00e+00,1.80e+09,2.42e+09,6.83e+06,2.41e+09,0.00e+00,0.00e+00,2.16e+07,4.39e+07,84.94115550575957,20.475376332061483,46.60899994424024,0.14053508903286246
IMAGENET,ComPASS,0,True,True,True,1.46e+08,7.02e+06,5.61e+06,2.63e+07,2.40e+07,7.67e+05,6.93e+07,1.91e+07,1.06e+08,9.82e+07,1.30e+04,6.61e+04,6.48e+06,1.21e+06,6.10e+06,6.61e+04,6.04e+06,0.00e+00,9.83e+07,2.59e+04,1.39e+09,8.51e+06,4.00e+06,6.83e+06,1.39e+09,4.79e+06,2.31e+07,1.60e+09,1.40e+09,6.83e+06,1.39e+09,0.00e+00,2.31e+07,9.81e+06,1.01e+07,120.36703664889369,22.97856515942555,52.30711879797502,0.15771601206033473
DVS128GestureSimplify,ComPASS,1,False,False,False,3.69e+07,1.53e+06,3.46e+06,5.71e+06,8.24e+06,1.67e+05,1.51e+07,5.26e+07,7.05e+07,5.66e+07,1.98e+04,8.85e+04,1.10e+07,2.83e+06,1.10e+07,8.85e+04,1.09e+07,0.00e+00,5.67e+07,3.97e+04,9.91e+08,4.35e+06,1.50e+07,3.52e+06,9.60e+08,8.87e+06,0.00e+00,1.85e+09,9.61e+08,3.52e+06,9.58e+08,0.00e+00,0.00e+00,9.20e+06,3.78e+07,48.33092517225545,3.176063789044713,19.025816739891866,0.086033205093362
